Neighborhood,Incidents
Mount Oliver Borough,6
Regent Square,9
East Carnegie,11
Mt. Oliver,12
Ridgemont,12
Oakwood,13
Arlington Heights,13
St. Clair,13
Swisshelm Park,16
Chartiers City,17
Glen Hazel,20
Summer Hill,21
New Homestead,21
Esplen,22
Bon Air,22
West End,23
Windgap,23
South Shore,23
Hays,24
Spring Garden,24
Fairywood,26
Westwood,28
Morningside,32
Friendship,32
Polish Hill,39
Duquesne Heights,40
California-Kirkbride,41
Chateau,41
Allegheny West,43
Bedford Dwellings,45
Upper Hill,46
Fineview,49
Point Breeze North,50
Arlington,51
Upper Lawrenceville,52
Overbrook,58
Stanton Heights,58
Lower Lawrenceville,58
Banksville,59
Allegheny Center,62
Homewood West,62
West Oakland,62
Northview Heights,64
North Shore,65
Strip District,66
Lincoln Place,67
Point Breeze,70
Elliott,71
Central Lawrenceville,77
Highland Park,78
Manchester,80
Troy Hill,84
Crafton Heights,84
Terrace Village,86
Central Oakland,94
South Oakland,96
South Side Slopes,103
Middle Hill,105
Spring Hill-City View,108
Crawford-Roberts,109
Perry North,111
Garfield,112
Greenfield,118
Larimer,124
Allentown,127
North Oakland,130
Beltzhoover,130
Central Northside,131
East Allegheny,134
Squirrel Hill North,135
Bluff,144
Marshall-Shadeland,145
Beechview,148
Brighton Heights,154
East Hills,156
Perry South,165
Sheraden,172
Bloomfield,177
Homewood North,184
Knoxville,186
Shadyside,189
Homewood South,193
Brookline,196
Lincoln-Lemington-Belmar,197
East Liberty,208
Mount Washington,225
Hazelwood,249
Squirrel Hill South,256
South Side Flats,270
Central Business District,274
Carrick,290
