Neighborhood,Total occupation rate,Healthcare practitioners and technology rate,"Education, legal, community service, arts, and media rate","Computer, engineering, and science rate","Management, business, and finance rate"
Strip District,69.67895362663495,5.231866825208085,10.582639714625445,11.414982164090368,20.80856123662307
South Side Flats,62.44679969844784,5.6821473792946176,8.267524436873668,4.7161823248145325,17.54363003357213
Polish Hill,62.04678092604823,1.9265060458837242,10.363273901995207,3.6537183628829255,10.82829260272576
North Shore,60.71683910388172,12.511348663830171,8.095578547184228,6.623655174968915,9.935482762453372
Friendship,60.29363739968484,5.92974404009489,14.421137505510773,8.586269370057401,6.688751277227037
Fairywood,60.11275546159267,3.9464411557434813,8.456659619450317,4.933051444679352,8.809020436927414
Bloomfield,59.86672027030638,6.528136163684028,10.600033804242797,6.353470313150678,9.552038701042685
Shadyside,57.00921102156985,7.716314224371549,15.231574439303047,11.439279847451083,10.066566265756952
Point Breeze,56.12430771090068,5.045272546857159,14.21375058890448,6.976394107895589,11.708511807016787
Banksville,54.26766451831089,4.280139584258642,6.690533981709561,3.288949364746114,11.75912033148953
Point Breeze North,53.637061853915746,3.2111992129566023,10.637097392918745,7.275373216854803,11.088672282240768
Mount Washington,53.152158014625094,3.377454641588886,8.187121061573059,4.435581253985404,7.663401829174783
Duquesne Heights,53.05020169334333,1.6360626506477274,5.256286388251209,3.3417449885570605,13.158120892443426
South Side Slopes,52.53699873969424,4.981111489317781,5.373324992413671,3.7652496297205276,3.6868069291013503
Central Lawrenceville,52.496600452298125,3.2955768378473715,9.440858353127469,3.605748775527124,5.6994093548654545
Greenfield,52.12489838921917,4.279176428476945,9.77416342994734,5.5903446934698815,7.271024014960827
Allegheny West,50.34168564920274,2.9612756264236904,7.289293849658314,4.100227790432802,8.656036446469248
Summer Hill,49.88308651597818,2.9618082618862043,5.378020265003897,0.857365549493375,4.442712392829307
West End,49.865951742627345,0.8042895442359249,0.0,0.0,0.0
Regent Square,49.735449735449734,4.497354497354497,16.402116402116402,2.821869488536155,12.786596119929452
Lower Lawrenceville,49.69649542272159,3.5786878497340275,5.300509362341909,2.5996128719766047,7.731316203670683
Morningside,49.384901718806624,6.262379083363688,6.234912508436654,2.5818580431411697,7.470908380153171
Troy Hill,49.229382896985754,6.676471258047951,3.1847535311378157,1.7650441256908376,6.753212306991031
Brookline,49.18788854890156,4.183487709939731,4.694015023695089,1.609579169756473,7.5799124778399545
Perry North,48.47021201829557,2.590194407707037,7.2669343105114095,2.7340940970240943,6.21166992218632
Central Business District,48.3839602333534,4.825115887864154,6.5736670582369445,5.002184360813297,11.553717859931597
Stanton Heights,48.116541552708256,2.1625411933801466,9.499734528062787,1.1585042107393642,4.9043344921299745
Brighton Heights,47.67230767115894,3.04451268438676,5.475111288382775,2.2927811573776835,6.251900532958821
Upper Lawrenceville,47.590553924714065,4.420466471267908,5.298289600314017,1.1286297373449976,6.8658309021820685
Squirrel Hill South,47.04190487490831,5.628491568837115,13.93243610796092,7.382596496376069,7.7783036685818265
Central Northside,47.03896607334557,3.1194586824740007,8.308261243420853,2.192886796590634,11.18063408965929
East Carnegie,46.57534246575342,2.8767123287671232,1.7808219178082192,1.095890410958904,5.616438356164384
South Shore,46.15384615384615,30.76923076923077,0.0,15.384615384615385,0.0
Beechview,45.98951089030258,2.3528988517777147,4.580764431238739,2.2392322405807237,3.546398269346121
Central Oakland,45.885032105475716,3.502320876914253,5.508055299816688,4.273757193415189,2.4377387601429596
Highland Park,45.87189125055119,5.221296733315647,11.249876253328479,2.630179401819852,6.367117462821326
East Allegheny,45.80984637133392,2.2274512455786217,4.875176311077738,2.7317798294832154,5.253422749006184
Squirrel Hill North,45.74602767647754,4.585343211205532,12.739818435457535,4.428367497668766,9.790327396898299
Westwood,45.57687755960759,3.5995086837954826,2.864397755414715,3.4474167675787717,5.880887427046141
Bon Air,45.46287809349221,0.0,1.6498625114573784,4.307974335472044,6.507791017415215
Oakwood,45.31120331950208,2.1576763485477177,3.319502074688797,3.319502074688797,5.975103734439834
Swisshelm Park,45.210199862164025,4.755341144038594,10.406616126809096,2.205375603032391,5.444521019986216
Arlington,45.0416021061477,0.6363092123976466,0.3636052642272266,2.59068750761899,0.7726611864828565
Overbrook,44.839716946773635,1.6625683649329461,2.6303320400431685,0.7940625026545414,6.972861351435192
New Homestead,43.13543599257885,4.081632653061225,8.534322820037106,1.5769944341372915,4.081632653061225
East Liberty,42.74886338420381,4.3252938988962395,6.780629909171925,2.731764567723941,3.2846216826204526
Beltzhoover,42.34567917266083,1.271348335437854,3.471758916003371,0.24449006450727961,4.4008211611310335
South Oakland,41.86965055667699,2.4749098034197106,5.037169364607176,3.2901742092520863,3.2901742092520863
Spring Garden,41.752450406768595,2.2187292486688626,2.420431907638759,0.0,1.2102159538193795
Crafton Heights,41.64193082176863,3.816985376263718,3.725009825028448,3.5870464981755417,4.276863132440069
Ridgemont,41.60756501182033,1.1820330969267139,3.7825059101654848,0.0,2.8368794326241136
Lincoln Place,41.49885209825587,2.83688462619656,1.6569414630882562,1.782467331504033,4.016827789304863
Carrick,40.58028549201219,2.036777777339347,2.867929247015941,0.949887393916108,3.342872943973995
Manchester,40.525206629874454,1.9990012238951522,5.270094135723584,3.3165247578260484,6.678481361649714
Esplen,38.17330210772833,0.0,0.0,0.0,0.0
Mt. Oliver,37.63586956521739,1.2228260869565217,1.358695652173913,0.6793478260869565,4.891304347826087
Windgap,36.54377370716811,3.049696223044245,0.6309716323539817,2.1558197438761044,4.732287242654863
Allegheny Center,36.029869321717484,3.9825762289981332,4.231487243310516,4.4803982576229,6.969508400746734
Elliott,34.4531520098104,1.7951542129360127,3.797441604287719,1.0011436956758533,3.3141308546511006
Knoxville,34.1927950933956,1.8440176355589137,3.2760738844504105,0.863157191112683,3.138753422227938
Sheraden,34.086394330018926,1.4475044167542286,2.754927760919338,1.634279180206387,3.642107887317091
Hays,33.65758754863813,3.3073929961089497,2.3346303501945527,0.0,4.863813229571985
Chartiers City,32.78688524590164,1.092896174863388,3.415300546448088,0.0,3.0054644808743167
West Oakland,32.76720405286703,4.995000617815096,3.346650413936114,3.3966004201142654,1.7982002224134344
North Oakland,32.169732483228394,2.4046655092294698,9.608886973872231,5.151458225056628,1.984337798266595
Hazelwood,31.86474544484878,1.3200818699268138,2.8432532583039065,0.5280327479707254,2.4167652695583204
Mount Oliver Borough,31.434806353912588,2.3304222173411304,2.5375708588825643,1.0875303680925277,1.5018276511753954
Middle Hill,31.263350914157513,1.709714503117989,1.709714503117989,0.8304327586573089,2.3447513185618134
Lincoln-Lemington-Belmar,31.21973400638916,0.9583389423448857,3.335756703162006,0.5160286612626307,4.3678140256872675
Fineview,31.121049767609698,2.9577857217149712,0.7072965856274931,0.3214984480124969,2.05759006727998
Spring Hill-City View,30.76458176978226,0.9027981106256646,2.326441285073828,0.7986290978611649,3.6806384510123245
Perry South,30.30504587188118,1.4701171188912574,3.559230919420939,0.7737458520480303,5.158305680320201
Homewood West,29.282585132580795,0.0,0.4633320432370379,0.0,1.0193304951214832
Terrace Village,29.259168706136922,1.1343795353983566,3.481371677601853,1.0170299282881818,1.4081952853220978
